slopes_connection_lines_1, slopes_connection_lines_2, slopes_connection_lines_3, slopes_connection_lines_4, slopes_connection_lines_5, slopes_knuckle_lines_1, slopes_knuckle_lines_2, y_diff_array, label_array
-0.09,-0.08,-0.01,-0.01,-0.04,-4.67,5.50,0.07,0.00
0.00,0.02,0.04,0.04,0.04,-6.50,6.00,0.00,0.00
-0.12,-0.08,-0.13,-0.15,-0.16,4.33,3.00,0.09,0.14
-0.23,-0.24,-0.26,-0.24,-0.23,5.50,3.25,0.16,0.21
-0.27,-0.29,-0.29,-0.30,-0.29,6.00,2.75,0.19,0.24
-0.36,-0.36,-0.37,-0.38,-0.38,4.00,2.20,0.25,0.29
-0.44,-0.44,-0.44,-0.45,-0.45,3.25,2.20,0.30,0.33
-0.50,-0.52,-0.51,-0.51,-0.51,3.25,2.00,0.33,0.36
-0.55,-0.55,-0.54,-0.54,-0.55,3.25,2.00,0.36,0.38
-0.61,-0.61,-0.57,-0.59,-0.60,2.60,1.83,0.40,0.41
-0.64,-0.62,-0.61,-0.61,-0.60,2.60,1.71,0.42,0.42
-0.66,-0.66,-0.64,-0.64,-0.64,2.40,2.00,0.44,0.45
-0.69,-0.65,-0.65,-0.66,-0.65,2.60,1.57,0.45,0.45
-0.71,-0.70,-0.68,-0.68,-0.69,2.40,1.83,0.46,0.45
-0.74,-0.71,-0.70,-0.69,-0.69,2.40,1.71,0.48,0.45
-0.74,-0.72,-0.70,-0.71,-0.72,2.60,1.57,0.49,0.47
-0.77,-0.75,-0.72,-0.75,-0.74,2.17,1.57,0.50,0.48
-0.78,-0.77,-0.78,-0.76,-0.77,1.86,1.38,0.51,0.50
-0.82,-0.78,-0.78,-0.79,-0.79,2.00,1.57,0.54,0.52
-0.80,-0.79,-0.86,-0.85,-0.86,2.00,1.33,0.56,0.56
-0.84,-0.83,-0.86,-0.81,-0.78,1.67,1.33,0.57,0.57
-0.85,-0.86,-0.86,-0.82,-0.81,1.83,1.50,0.57,0.55
-0.85,-0.84,-0.88,-0.86,-0.85,1.38,1.50,0.58,0.56
-0.85,-0.84,-0.87,-0.89,-0.89,1.44,1.33,0.58,0.58
-0.84,-0.85,-0.86,-0.89,-0.92,1.88,1.50,0.57,0.56
-0.65,-0.63,-0.64,-0.63,-0.62,2.40,1.11,0.49,0.47
-0.27,-0.22,-0.12,-0.12,-0.12,8.00,3.75,0.21,-0.99
-0.11,-0.06,0.01,0.01,0.01,15.00,5.00,0.08,0.00
0.03,0.07,0.11,0.12,0.12,0.00,5.33,-0.02,-0.11
0.06,0.04,0.16,0.16,0.16,-15.00,8.00,-0.04,-0.16
0.06,0.11,0.18,0.18,0.19,-14.00,4.25,-0.04,-0.17
0.07,0.12,0.25,0.24,0.25,-7.00,3.20,-0.05,-0.21
-0.18,-0.15,-0.07,-0.07,-0.09,5.00,9.00,0.10,0.24
-0.15,-0.10,-0.07,-0.07,-0.09,5.00,9.00,0.08,0.17
-0.13,-0.11,-0.05,-0.09,-0.07,5.50,9.00,0.07,0.21
-0.11,-0.09,-0.06,-0.09,-0.09,11.00,4.50,0.06,0.21
-0.09,-0.09,-0.06,-0.05,-0.07,10.00,4.50,0.05,0.00
-0.09,-0.09,-0.07,-0.09,-0.10,5.00,4.00,0.05,0.22
-0.11,-0.12,-0.09,-0.11,-0.12,5.00,4.00,0.06,0.29
-0.07,-0.06,-0.07,-0.08,-0.10,12.00,4.50,0.04,0.19
-0.06,-0.04,-0.11,-0.13,-0.18,-7.50,2.00,0.04,0.10
-0.13,-0.08,-0.13,-0.14,-0.12,8.00,3.00,0.08,-0.99
-0.17,-0.12,-0.13,-0.12,-0.12,9.00,3.33,0.10,-0.99
-0.20,-0.10,-0.18,-0.18,-0.17,4.00,2.00,0.12,0.16
-0.35,-0.31,-0.31,-0.34,-0.33,3.33,1.60,0.21,0.27
-0.45,-0.37,-0.44,-0.44,-0.43,2.25,1.80,0.26,0.27
-0.54,-0.47,-0.52,-0.54,-0.53,2.00,1.14,0.31,0.39
-0.60,-0.49,-0.55,-0.57,-0.56,2.75,1.33,0.34,0.42
-0.62,-0.49,-0.60,-0.58,-0.59,2.25,1.33,0.35,0.42
-0.63,-0.53,-0.60,-0.62,-0.60,2.50,1.33,0.36,0.38
-0.68,-0.61,-0.67,-0.68,-0.66,2.50,1.33,0.38,0.47
-0.71,-0.62,-0.73,-0.74,-0.70,2.50,1.14,0.39,0.50
-0.71,-0.61,-0.73,-0.73,-0.73,2.50,1.14,0.39,0.50
-0.76,-0.68,-0.75,-0.76,-0.76,2.20,1.14,0.41,0.51
-0.76,-0.66,-0.76,-0.77,-0.78,2.20,1.00,0.41,0.51
-0.76,-0.68,-0.76,-0.77,-0.78,2.20,1.14,0.41,0.53
-0.79,-0.70,-0.75,-0.76,-0.78,2.20,1.17,0.42,0.53
-0.78,-0.68,-0.77,-0.76,-0.78,3.00,1.14,0.42,0.53
-0.77,-0.72,-0.77,-0.78,-0.79,2.75,0.88,0.41,0.53
-0.81,-0.70,-0.81,-0.81,-0.81,2.20,1.00,0.43,0.54
-0.81,-0.70,-0.83,-0.86,-0.87,2.40,1.14,0.44,0.56
-0.88,-0.77,-0.87,-0.89,-0.91,2.40,1.14,0.46,0.59
-0.92,-0.77,-0.92,-0.98,-1.00,2.17,1.00,0.48,0.60
-0.94,-0.84,-0.98,-1.04,-1.06,1.86,1.00,0.49,0.63
-0.96,-0.86,-1.02,-1.04,-1.09,2.17,0.75,0.50,0.64
-0.96,-0.87,-1.02,-1.08,-1.11,2.33,0.75,0.52,0.64
-0.96,-0.95,-0.96,-1.00,-1.04,2.33,1.00,0.54,0.64
-1.00,-0.96,-1.00,-1.02,-1.05,2.17,0.88,0.56,-0.75
-1.02,-1.04,-1.04,-1.07,-1.11,2.33,1.00,0.61,0.70
-1.06,-1.06,-1.12,-1.15,-1.18,2.00,0.78,0.66,-0.71
-1.08,-1.15,-1.15,-1.16,-1.20,2.00,0.78,0.66,0.73
-0.98,-1.00,-0.96,-1.03,-1.05,1.88,1.00,0.63,0.64
-0.78,-0.75,-0.67,-0.69,-0.72,2.67,1.25,0.52,0.52
-0.58,-0.58,-0.55,-0.56,-0.56,4.00,1.71,0.42,0.47
-0.41,-0.46,-0.36,-0.36,-0.36,8.00,2.60,0.30,0.34
-0.27,-0.27,-0.23,-0.23,-0.25,15.00,4.00,0.20,0.26
-0.17,-0.19,-0.12,-0.14,-0.16,16.00,4.00,0.13,0.19
-0.12,-0.11,-0.11,-0.12,-0.12,0.00,4.67,0.09,0.12
0.03,0.06,0.06,0.04,0.03,-15.00,4.00,-0.02,0.00
0.14,0.19,0.21,0.20,0.18,-5.00,14.00,-0.11,-0.10
0.25,0.28,0.29,0.28,0.26,-4.67,14.00,-0.18,-0.17
0.37,0.44,0.41,0.39,0.40,-2.60,7.50,-0.26,-0.26
0.48,0.56,0.52,0.49,0.49,-1.86,15.00,-0.32,-0.34
0.58,0.68,0.64,0.59,0.57,-2.17,-10.00,-0.40,-0.39
-0.12,-0.09,0.00,0.00,0.00,0.00,0.00,0.08,-0.02
-0.06,0.00,0.02,0.00,0.00,0.00,12.00,0.04,0.00
-0.01,0.04,0.00,-0.01,0.00,0.00,12.00,0.01,-0.01
-0.01,0.04,0.02,0.01,0.00,0.00,6.50,0.01,0.00
0.01,0.03,0.03,0.01,0.00,0.00,14.00,-0.01,0.00
-0.04,-0.03,-0.04,-0.05,-0.04,7.50,7.00,0.03,0.00
-0.14,-0.10,-0.14,-0.16,-0.16,14.00,4.33,0.10,-0.99
-0.20,-0.15,-0.21,-0.22,-0.22,15.00,2.60,0.14,0.18
-0.27,-0.18,-0.28,-0.31,-0.31,4.67,2.40,0.19,0.24
-0.34,-0.28,-0.34,-0.37,-0.37,4.67,2.20,0.24,0.29
-0.40,-0.35,-0.40,-0.42,-0.42,3.50,2.20,0.28,0.26
-0.44,-0.37,-0.43,-0.46,-0.46,3.75,2.40,0.31,0.34
-0.44,-0.37,-0.43,-0.47,-0.47,2.80,2.20,0.31,0.34
-0.46,-0.39,-0.47,-0.49,-0.49,3.50,1.83,0.32,0.37
-0.51,-0.44,-0.49,-0.51,-0.51,3.50,1.83,0.34,0.37
-0.53,-0.46,-0.51,-0.53,-0.52,3.50,2.75,0.35,0.39
-0.58,-0.50,-0.53,-0.56,-0.57,3.75,1.83,0.38,0.36
-0.57,-0.50,-0.56,-0.58,-0.61,3.75,1.83,0.37,-0.92
-0.58,-0.53,-0.57,-0.60,-0.61,3.75,1.83,0.38,0.42
-0.60,-0.51,-0.59,-0.61,-0.63,3.75,1.83,0.39,0.37
-0.61,-0.55,-0.60,-0.63,-0.64,3.00,1.83,0.39,0.44
-0.62,-0.54,-0.60,-0.64,-0.65,3.00,1.83,0.40,0.39
-0.62,-0.55,-0.60,-0.64,-0.65,3.75,2.20,0.40,0.45
-0.62,-0.55,-0.62,-0.66,-0.66,3.00,2.00,0.40,0.45
-0.62,-0.55,-0.62,-0.68,-0.67,3.20,2.40,0.40,0.45
-0.64,-0.56,-0.65,-0.68,-0.69,3.00,1.83,0.41,0.46
-0.65,-0.56,-0.65,-0.69,-0.70,3.00,1.83,0.41,0.47
-0.64,-0.58,-0.65,-0.69,-0.71,3.20,1.67,0.41,0.47
-0.65,-0.57,-0.65,-0.69,-0.71,3.20,1.83,0.41,0.42
-0.67,-0.57,-0.66,-0.71,-0.72,2.50,1.57,0.42,0.47
-0.66,-0.56,-0.66,-0.71,-0.72,2.50,1.83,0.42,0.47
-0.67,-0.58,-0.68,-0.71,-0.72,2.50,1.83,0.42,0.48
-0.67,-0.60,-0.66,-0.72,-0.72,2.50,1.83,0.42,0.44
-0.70,-0.60,-0.70,-0.77,-0.77,2.50,1.67,0.45,0.45
-0.76,-0.69,-0.80,-0.87,-0.87,2.14,1.43,0.47,0.55
-0.82,-0.77,-0.85,-0.89,-0.92,2.14,1.43,0.50,0.57
-0.92,-0.88,-0.95,-0.98,-1.02,1.75,1.12,0.56,0.62
-0.98,-0.94,-1.02,-1.05,-1.08,1.56,1.00,0.59,0.65
-1.05,-1.02,-1.09,-1.12,-1.16,1.20,0.89,0.62,0.67
-1.12,-1.11,-1.19,-1.20,-1.24,1.00,0.90,0.67,0.69
-1.15,-1.13,-1.21,-1.25,-1.28,1.20,1.00,0.69,0.71
-1.17,-1.15,-1.23,-1.28,-1.30,1.10,0.89,0.69,0.71
-1.21,-1.17,-1.25,-1.30,-1.32,1.00,1.12,0.70,0.66
-1.17,-1.13,-1.23,-1.28,-1.28,1.00,1.00,0.69,0.71
-1.15,-1.11,-1.23,-1.24,-1.28,1.10,1.00,0.69,0.66
-1.15,-1.15,-1.21,-1.25,-1.26,1.10,1.00,0.69,0.70
-1.17,-1.15,-1.23,-1.25,-1.28,1.00,1.00,0.69,0.64
-1.19,-1.15,-1.21,-1.25,-1.26,1.10,1.00,0.69,0.64
-1.19,-1.13,-1.21,-1.24,-1.26,1.10,1.00,0.69,-0.73
-1.17,-1.13,-1.21,-1.25,-1.26,1.10,0.90,0.69,0.70
-1.17,-1.15,-1.21,-1.24,-1.26,1.10,0.90,0.68,0.64
-1.17,-1.15,-1.21,-1.24,-1.26,1.10,0.90,0.68,0.66
-1.19,-1.15,-1.21,-1.24,-1.26,1.10,1.00,0.69,0.69
-1.15,-1.11,-1.19,-1.24,-1.26,1.10,1.00,0.68,0.70
-1.15,-1.13,-1.21,-1.24,-1.26,1.10,1.00,0.68,0.69
-1.15,-1.15,-1.21,-1.24,-1.26,1.10,0.90,0.68,0.69
-1.16,-1.11,-1.19,-1.24,-1.26,1.10,1.00,0.67,0.69
-1.05,-0.98,-1.05,-1.09,-1.11,1.33,1.11,0.62,0.64
-0.71,-0.61,-0.60,-0.59,-0.59,3.00,1.29,0.45,0.41
-0.34,-0.25,-0.25,-0.24,-0.24,12.00,2.40,0.24,0.17
-0.11,-0.05,-0.11,-0.09,-0.10,0.00,6.00,0.08,0.07
0.01,0.07,0.02,0.03,0.03,-11.00,5.50,-0.01,0.00
0.10,0.15,0.13,0.12,0.12,-11.00,11.00,-0.07,-0.10
0.20,0.23,0.21,0.20,0.20,-5.50,0.00,-0.13,-0.16
0.28,0.33,0.29,0.30,0.30,-5.00,11.00,-0.18,-0.22
0.39,0.44,0.38,0.38,0.37,-3.33,0.00,-0.25,-0.27
0.55,0.60,0.55,0.52,0.51,-2.75,0.00,-0.34,-0.37
0.68,0.73,0.67,0.63,0.64,-2.50,-10.00,-0.40,-0.44
0.69,0.77,0.71,0.67,0.68,-2.50,-5.00,-0.41,-0.47
0.78,0.89,0.78,0.77,0.75,-2.00,-11.00,-0.45,-0.51
0.86,0.93,0.88,0.81,0.82,-2.20,-11.00,-0.49,-0.54
0.98,1.11,0.98,0.91,0.89,-1.67,-10.00,-0.56,-0.59
0.98,1.09,1.00,0.95,0.96,-1.29,-3.33,-0.56,-0.59
1.00,1.13,0.98,0.96,0.96,-1.80,-3.33,-0.57,-0.59
1.06,1.14,1.02,1.00,0.98,-1.50,-5.00,-0.57,-0.60
1.02,1.11,1.00,0.96,0.95,-1.50,-5.00,-0.56,-0.60
1.02,1.11,1.00,0.98,0.96,-1.80,-5.00,-0.56,-0.59
1.02,1.09,1.00,0.96,0.96,-1.50,-5.00,-0.54,-0.60
0.98,1.04,0.96,0.91,0.91,-1.50,-5.00,-0.53,-0.59
1.00,1.09,0.98,0.91,0.93,-1.50,-5.00,-0.53,-0.59
1.00,1.09,0.98,0.93,0.94,-1.33,-4.50,-0.54,-0.60
1.00,1.07,0.98,0.93,0.94,-1.33,-4.50,-0.53,-0.60
0.96,1.07,0.94,0.93,0.91,-1.33,-3.33,-0.52,-0.57
0.96,1.07,0.94,0.94,0.91,-1.33,-3.33,-0.53,-0.60
0.96,1.07,0.94,0.94,0.93,-1.60,-3.33,-0.52,-0.60
0.96,1.04,0.94,0.94,0.94,-1.60,-3.33,-0.53,-0.60
0.98,1.07,1.00,0.96,0.96,-1.50,-3.00,-0.53,-0.59
1.19,1.35,1.23,1.16,1.13,-1.50,-2.67,-0.63,-0.66
1.41,1.55,1.45,1.45,1.45,-0.86,-1.60,-0.69,-0.76
1.50,1.62,1.53,1.50,1.43,-0.67,-0.83,-0.72,-0.76
1.65,1.75,1.67,1.60,1.56,-0.67,-0.43,-0.76,-0.76
1.86,2.06,1.93,1.82,1.89,-0.36,-0.62,-0.82,-0.82
2.12,2.21,2.07,2.07,2.05,-0.50,-0.60,-0.85,-0.86
2.17,2.38,2.15,2.10,2.10,-0.45,-0.88,-0.87,-0.87
2.33,2.58,2.29,2.20,2.17,-0.45,-0.56,-0.91,-0.87
2.46,2.66,2.38,2.30,2.24,-0.45,-0.62,-0.96,-0.88
2.55,2.90,2.57,2.38,2.38,-0.42,-0.62,-0.97,-0.87
2.88,3.19,2.65,2.54,2.47,-0.33,-0.56,-0.98,-0.90
3.06,3.64,2.84,2.71,2.64,-0.33,-0.56,-1.01,-0.91
3.28,3.80,3.03,2.82,2.74,-0.33,-0.33,-1.05,-0.91
3.21,3.96,3.06,2.85,2.77,-0.33,-0.22,-1.09,-0.91
3.06,3.50,3.13,2.97,2.85,-0.31,-0.44,-1.10,-0.91
2.85,3.12,3.06,2.97,2.97,-0.33,-0.36,-1.11,-0.93
2.75,2.85,3.00,2.91,2.94,-0.25,-0.36,-1.10,-0.92
2.39,2.59,2.76,2.61,2.64,-0.25,-0.56,-1.05,-0.91
2.00,2.13,2.05,1.95,1.98,-0.42,-1.12,-0.92,-0.85
1.57,1.49,1.11,1.08,1.10,-0.89,-1.57,-0.80,-0.61
0.53,0.55,0.35,0.32,0.32,-2.33,15.00,-0.38,-0.23
0.30,0.29,0.20,0.17,0.15,-3.20,13.00,-0.24,-0.12
0.22,0.25,0.17,0.14,0.13,-3.75,13.00,-0.18,0.99
0.15,0.15,0.12,0.12,0.10,-3.20,-13.00,-0.12,-0.06
-0.12,-0.11,-0.16,-0.17,-0.15,-15.00,7.50,0.09,0.11
-0.16,-0.15,-0.21,-0.21,-0.20,-15.00,5.00,0.12,0.16
-0.18,-0.17,-0.22,-0.23,-0.23,-15.00,7.00,0.14,0.15
-0.20,-0.17,-0.23,-0.24,-0.26,-15.00,7.00,0.15,0.17
-0.21,-0.19,-0.25,-0.29,-0.27,0.00,3.25,0.16,0.19
-0.24,-0.23,-0.30,-0.30,-0.31,-15.00,4.33,0.18,0.21
-0.25,-0.24,-0.32,-0.34,-0.35,0.00,3.00,0.19,0.24
-0.32,-0.28,-0.36,-0.37,-0.38,0.00,2.00,0.23,0.26
-0.36,-0.34,-0.39,-0.41,-0.40,15.00,2.60,0.26,0.27
-0.41,-0.40,-0.43,-0.44,-0.43,0.00,2.40,0.29,0.31
-0.44,-0.40,-0.48,-0.46,-0.46,13.00,2.17,0.31,0.32
-0.50,-0.47,-0.52,-0.52,-0.49,13.00,2.17,0.34,0.36
-0.51,-0.50,-0.55,-0.55,-0.53,13.00,2.17,0.35,0.37
-0.54,-0.55,-0.61,-0.61,-0.59,6.50,2.17,0.38,0.43
-0.57,-0.55,-0.62,-0.62,-0.61,6.50,2.00,0.40,0.42
-0.61,-0.62,-0.65,-0.66,-0.65,7.00,2.00,0.43,0.45
-0.72,-0.72,-0.75,-0.75,-0.74,3.00,2.00,0.51,0.50
-0.76,-0.73,-0.80,-0.81,-0.78,2.40,2.17,0.54,0.50
-0.75,-0.75,-0.79,-0.81,-0.79,2.60,1.50,0.53,0.50
-0.76,-0.75,-0.82,-0.83,-0.82,2.60,1.38,0.55,0.52
-0.82,-0.80,-0.85,-0.91,-0.89,2.17,1.43,0.58,0.54
-0.85,-0.83,-0.92,-0.92,-0.95,2.17,1.38,0.60,0.59
-0.90,-0.86,-0.95,-0.98,-1.00,2.00,1.38,0.61,0.58
-0.91,-0.89,-1.00,-1.00,-1.00,1.71,1.25,0.62,0.62
-0.93,-0.93,-1.05,-1.05,-1.05,1.86,1.22,0.64,0.61
-0.96,-0.93,-1.07,-1.08,-1.08,1.38,1.38,0.66,0.64
-0.97,-0.93,-1.05,-1.10,-1.08,1.50,1.25,0.67,-0.72
-0.99,-0.98,-1.11,-1.16,-1.14,1.10,1.25,0.68,0.66
-0.99,-0.98,-1.16,-1.21,-1.21,1.22,1.00,0.70,0.68
-1.01,-1.00,-1.20,-1.25,-1.23,1.38,1.12,0.72,0.66
-1.06,-1.02,-1.24,-1.29,-1.29,1.33,0.89,0.73,0.67
-1.07,-1.03,-1.24,-1.29,-1.29,1.25,0.78,0.74,0.72
-1.09,-1.07,-1.28,-1.33,-1.33,1.11,0.70,0.74,0.67
-1.09,-1.07,-1.30,-1.33,-1.37,1.00,0.70,0.75,0.68
-1.12,-1.08,-1.28,-1.35,-1.35,1.22,0.78,0.76,0.68
-1.15,-1.10,-1.33,-1.40,-1.39,1.20,0.78,0.76,0.73
-1.15,-1.14,-1.39,-1.42,-1.46,1.00,0.70,0.76,0.74
-1.15,-1.12,-1.40,-1.42,-1.43,1.22,0.60,0.77,-0.63
-1.13,-1.10,-1.37,-1.42,-1.48,1.10,0.55,0.77,0.74
-1.12,-1.08,-1.37,-1.45,-1.45,0.91,0.67,0.76,0.76
-1.15,-1.16,-1.39,-1.44,-1.44,0.91,0.70,0.77,0.70
-1.15,-1.14,-1.39,-1.44,-1.49,0.92,0.60,0.77,0.70
-1.10,-1.08,-1.30,-1.35,-1.37,1.00,0.70,0.75,0.68
-0.94,-0.90,-1.09,-1.08,-1.07,1.43,0.80,0.67,-0.71
-0.73,-0.70,-0.76,-0.79,-0.81,3.00,1.00,0.52,0.47
-0.49,-0.41,-0.47,-0.48,-0.46,13.00,1.71,0.34,0.29
-0.37,-0.32,-0.39,-0.41,-0.40,0.00,2.00,0.26,0.28
-0.22,-0.17,-0.23,-0.23,-0.24,0.00,2.40,0.16,0.14
-0.14,-0.11,-0.14,-0.16,-0.15,-13.00,3.00,0.10,0.11
-0.04,-0.02,-0.05,-0.06,-0.04,-6.00,4.00,0.03,0.05
0.01,0.06,0.03,0.01,0.01,-5.50,5.50,-0.01,0.00
0.12,0.17,0.13,0.12,0.14,-5.00,11.00,-0.08,-0.10
0.17,0.23,0.20,0.19,0.20,-3.33,11.00,-0.11,-0.14
0.26,0.31,0.29,0.27,0.28,-3.67,11.00,-0.17,-0.21
0.38,0.42,0.37,0.35,0.34,-2.75,0.00,-0.24,-0.27
0.48,0.50,0.47,0.44,0.45,-2.50,-11.00,-0.30,-0.32
0.52,0.61,0.52,0.49,0.48,-2.25,0.00,-0.32,-0.35
0.56,0.67,0.57,0.53,0.54,-2.50,-10.00,-0.35,-0.39
0.58,0.69,0.59,0.56,0.54,-1.80,-9.00,-0.35,-0.39
0.62,0.73,0.62,0.59,0.56,-1.80,0.00,-0.37,-0.41
0.68,0.83,0.70,0.64,0.65,-2.00,-9.00,-0.40,-0.45
0.73,0.85,0.74,0.72,0.69,-2.25,-8.00,-0.43,-0.47
0.73,0.85,0.74,0.70,0.69,-2.00,0.00,-0.43,-0.47
0.76,0.84,0.75,0.73,0.71,-1.60,-9.00,-0.44,-0.49
0.77,0.89,0.76,0.76,0.74,-2.00,0.00,-0.44,-0.48
0.76,0.87,0.78,0.76,0.75,-1.40,-9.00,-0.44,-0.49
0.73,0.85,0.78,0.76,0.76,-1.60,-10.00,-0.43,-0.48
0.69,0.85,0.76,0.74,0.71,-1.60,-9.00,-0.41,-0.48
0.71,0.84,0.78,0.74,0.73,-1.60,9.00,-0.42,-0.47
0.68,0.83,0.75,0.70,0.70,-1.80,0.00,-0.40,-0.47
0.64,0.79,0.73,0.68,0.67,-1.80,0.00,-0.39,-0.46
0.66,0.79,0.74,0.68,0.68,-1.80,9.00,-0.41,-0.44
0.70,0.86,0.84,0.80,0.77,-1.80,0.00,-0.43,-0.50
0.73,0.85,0.86,0.83,0.80,-1.60,-10.00,-0.43,-0.53
0.69,0.82,0.94,0.87,0.84,-1.29,-9.00,-0.43,-0.54
0.65,0.69,0.92,0.89,0.89,-1.14,-5.50,-0.41,-0.57
0.66,0.74,0.96,0.94,0.89,-1.29,-11.00,-0.42,-0.57
0.70,0.76,1.00,0.98,0.98,-1.14,-6.00,-0.45,-0.60
0.71,0.77,1.06,1.02,1.04,-0.88,-6.50,-0.45,-0.64
0.71,0.77,1.09,1.08,1.08,-0.88,-6.00,-0.45,-0.63
0.70,0.74,1.13,1.12,1.14,-1.00,-14.00,-0.44,-0.65
0.77,1.06,1.39,1.23,1.10,-0.88,-1.00,-0.50,0.76
0.69,0.79,0.98,0.96,0.93,-1.29,-5.50,-0.43,-0.59
-0.22,-0.15,-0.08,-0.10,-0.10,-14.00,4.33,0.14,0.09
-0.12,-0.08,-0.10,-0.13,-0.13,-14.00,6.00,0.08,0.07
-0.08,-0.04,-0.08,-0.10,-0.10,0.00,6.50,0.05,0.05
-0.05,-0.02,-0.08,-0.09,-0.09,0.00,4.33,0.03,0.04
-0.08,-0.06,-0.11,-0.12,-0.10,-14.00,6.50,0.05,0.07
-0.11,-0.08,-0.13,-0.13,-0.15,0.00,4.00,0.07,0.09
-0.14,-0.12,-0.19,-0.20,-0.19,13.00,3.00,0.09,0.15
-0.18,-0.16,-0.23,-0.24,-0.22,13.00,2.40,0.11,0.16
-0.22,-0.18,-0.28,-0.28,-0.29,13.00,2.20,0.14,0.19
-0.25,-0.22,-0.30,-0.31,-0.32,13.00,2.00,0.16,0.23
-0.29,-0.24,-0.33,-0.34,-0.34,13.00,2.00,0.18,0.24
-0.29,-0.25,-0.37,-0.38,-0.38,12.00,1.67,0.18,0.27
-0.30,-0.25,-0.39,-0.41,-0.40,13.00,2.00,0.19,0.29
-0.33,-0.29,-0.42,-0.44,-0.45,12.00,2.00,0.21,0.31
-0.33,-0.29,-0.44,-0.45,-0.45,13.00,2.00,0.21,0.33
-0.34,-0.31,-0.47,-0.48,-0.48,6.00,2.20,0.22,0.34
-0.35,-0.31,-0.50,-0.49,-0.51,6.00,1.83,0.22,0.35
-0.39,-0.34,-0.52,-0.53,-0.54,6.00,1.67,0.24,0.38
-0.35,-0.34,-0.52,-0.55,-0.52,6.00,1.80,0.22,0.37
-0.35,-0.30,-0.57,-0.59,-0.57,6.00,1.43,0.21,0.41
-0.37,-0.34,-0.60,-0.64,-0.63,4.00,1.25,0.21,0.42
-0.36,-0.36,-0.62,-0.66,-0.65,4.00,1.00,0.20,-0.97
-0.34,-0.32,-0.62,-0.67,-0.66,4.00,1.00,0.20,0.45
-0.35,-0.36,-0.64,-0.69,-0.67,3.00,1.00,0.19,0.47
-0.36,-0.37,-0.70,-0.72,-0.71,4.00,1.25,0.20,0.50
-0.38,-0.33,-0.72,-0.79,-0.77,2.75,1.29,0.22,0.51
-0.36,-0.35,-0.74,-0.79,-0.77,4.00,1.12,0.21,0.51
-0.36,-0.32,-0.75,-0.79,-0.79,3.00,0.78,0.21,0.53
-0.36,-0.30,-0.73,-0.80,-0.80,3.00,0.62,0.21,0.53
-0.33,-0.33,-0.65,-0.68,-0.68,4.00,1.00,0.22,0.52
-0.45,-0.43,-0.76,-0.79,-0.76,3.00,1.57,0.30,0.55
-0.46,-0.42,-0.81,-0.87,-0.87,2.20,1.67,0.31,0.57
